Unnamed: 0,raw_data,date,price,percent,district,small_district
1256,"2012年09月房价
12851元/㎡
1.05%↑
龙岗
buji",2012年09月房价,12851元/㎡,1.05%↑,龙岗,buji
1257,"2012年10月房价
12899元/㎡
0.37%↑
龙岗
buji",2012年10月房价,12899元/㎡,0.37%↑,龙岗,buji
1258,"2012年11月房价
12929元/㎡
0.23%↑
龙岗
buji",2012年11月房价,12929元/㎡,0.23%↑,龙岗,buji
1259,"2012年12月房价
13096元/㎡
1.29%↑
龙岗
buji",2012年12月房价,13096元/㎡,1.29%↑,龙岗,buji
1260,"2017年01月房价
10624元/㎡
1.74%↓
坪山
pingshant",2017年01月房价,10624元/㎡,1.74%↓,坪山,pingshant
1261,"2017年02月房价
10605元/㎡
0.18%↓
坪山
pingshant",2017年02月房价,10605元/㎡,0.18%↓,坪山,pingshant
1262,"2017年03月房价
10958元/㎡
3.33%↑
坪山
pingshant",2017年03月房价,10958元/㎡,3.33%↑,坪山,pingshant
1263,"2017年04月房价
11038元/㎡
0.72%↑
坪山
pingshant",2017年04月房价,11038元/㎡,0.72%↑,坪山,pingshant
1264,"2017年05月房价
12788元/㎡
15.86%↑
坪山
pingshant",2017年05月房价,12788元/㎡,15.86%↑,坪山,pingshant
1265,"2017年06月房价
17722元/㎡
38.58%↑
坪山
pingshant",2017年06月房价,17722元/㎡,38.58%↑,坪山,pingshant
1266,"2017年07月房价
22698元/㎡
28.08%↑
坪山
pingshant",2017年07月房价,22698元/㎡,28.08%↑,坪山,pingshant
1267,"2017年08月房价
24656元/㎡
8.63%↑
坪山
pingshant",2017年08月房价,24656元/㎡,8.63%↑,坪山,pingshant
1268,"2017年09月房价
25179元/㎡
2.12%↑
坪山
pingshant",2017年09月房价,25179元/㎡,2.12%↑,坪山,pingshant
1269,"2017年10月房价
25858元/㎡
2.69%↑
坪山
pingshant",2017年10月房价,25858元/㎡,2.69%↑,坪山,pingshant
1270,"2017年11月房价
25739元/㎡
0.46%↓
坪山
pingshant",2017年11月房价,25739元/㎡,0.46%↓,坪山,pingshant
1271,"2017年12月房价
24713元/㎡
3.99%↓
坪山
pingshant",2017年12月房价,24713元/㎡,3.99%↓,坪山,pingshant
1272,"2020年01月房价
29540元/㎡
0.87%↑
龙岗
nanao",2020年01月房价,29540元/㎡,0.87%↑,龙岗,nanao
1273,"2020年02月房价
29821元/㎡
0.95%↑
龙岗
nanao",2020年02月房价,29821元/㎡,0.95%↑,龙岗,nanao
1274,"2020年03月房价
30674元/㎡
2.86%↑
龙岗
nanao",2020年03月房价,30674元/㎡,2.86%↑,龙岗,nanao
1275,"2020年04月房价
30488元/㎡
0.6%↓
龙岗
nanao",2020年04月房价,30488元/㎡,0.6%↓,龙岗,nanao
1276,"2020年05月房价
27645元/㎡
9.32%↓
龙岗
nanao",2020年05月房价,27645元/㎡,9.32%↓,龙岗,nanao
1277,"2020年06月房价
24952元/㎡
9.74%↓
龙岗
nanao",2020年06月房价,24952元/㎡,9.74%↓,龙岗,nanao
1278,"2020年07月房价
25439元/㎡
1.95%↑
龙岗
nanao",2020年07月房价,25439元/㎡,1.95%↑,龙岗,nanao
1279,"2020年08月房价
26046元/㎡
2.39%↑
龙岗
nanao",2020年08月房价,26046元/㎡,2.39%↑,龙岗,nanao
1280,"2020年09月房价
25431元/㎡
2.36%↓
龙岗
nanao",2020年09月房价,25431元/㎡,2.36%↓,龙岗,nanao
1281,"2020年10月房价
25546元/㎡
0.45%↑
龙岗
nanao",2020年10月房价,25546元/㎡,0.45%↑,龙岗,nanao
1282,"2020年11月房价
23091元/㎡
9.61%↓
龙岗
nanao",2020年11月房价,23091元/㎡,9.61%↓,龙岗,nanao
1283,"2019年01月房价
16037元/㎡
0.68%↑
龙华
qinghu",2019年01月房价,16037元/㎡,0.68%↑,龙华,qinghu
1284,"2019年02月房价
17191元/㎡
7.2%↑
龙华
qinghu",2019年02月房价,17191元/㎡,7.2%↑,龙华,qinghu
1285,"2019年03月房价
17672元/㎡
2.8%↑
龙华
qinghu",2019年03月房价,17672元/㎡,2.8%↑,龙华,qinghu
1286,"2019年04月房价
18022元/㎡
1.99%↑
龙华
qinghu",2019年04月房价,18022元/㎡,1.99%↑,龙华,qinghu
1287,"2019年05月房价
18468元/㎡
2.48%↑
龙华
qinghu",2019年05月房价,18468元/㎡,2.48%↑,龙华,qinghu
1288,"2019年06月房价
17597元/㎡
4.71%↓
龙华
qinghu",2019年06月房价,17597元/㎡,4.71%↓,龙华,qinghu
1289,"2019年07月房价
17756元/㎡
0.9%↑
龙华
qinghu",2019年07月房价,17756元/㎡,0.9%↑,龙华,qinghu
1290,"2019年08月房价
17664元/㎡
0.52%↓
龙华
qinghu",2019年08月房价,17664元/㎡,0.52%↓,龙华,qinghu
1291,"2019年09月房价
17835元/㎡
0.97%↑
龙华
qinghu",2019年09月房价,17835元/㎡,0.97%↑,龙华,qinghu
1292,"2019年10月房价
18136元/㎡
1.69%↑
龙华
qinghu",2019年10月房价,18136元/㎡,1.69%↑,龙华,qinghu
1293,"2019年11月房价
18230元/㎡
0.52%↑
龙华
qinghu",2019年11月房价,18230元/㎡,0.52%↑,龙华,qinghu
1294,"2019年12月房价
18403元/㎡
0.95%↑
龙华
qinghu",2019年12月房价,18403元/㎡,0.95%↑,龙华,qinghu
1295,"2017年01月房价
33188元/㎡
2.71%↓
龙岗
nanao",2017年01月房价,33188元/㎡,2.71%↓,龙岗,nanao
1296,"2017年02月房价
28737元/㎡
13.41%↓
龙岗
nanao",2017年02月房价,28737元/㎡,13.41%↓,龙岗,nanao
1297,"2017年03月房价
25230元/㎡
12.21%↓
龙岗
nanao",2017年03月房价,25230元/㎡,12.21%↓,龙岗,nanao
1298,"2017年04月房价
26564元/㎡
5.29%↑
龙岗
nanao",2017年04月房价,26564元/㎡,5.29%↑,龙岗,nanao
1299,"2017年05月房价
30925元/㎡
16.41%↑
龙岗
nanao",2017年05月房价,30925元/㎡,16.41%↑,龙岗,nanao
1300,"2017年06月房价
32012元/㎡
3.52%↑
龙岗
nanao",2017年06月房价,32012元/㎡,3.52%↑,龙岗,nanao
1301,"2017年07月房价
29808元/㎡
6.88%↓
龙岗
nanao",2017年07月房价,29808元/㎡,6.88%↓,龙岗,nanao
1302,"2017年08月房价
31035元/㎡
4.11%↑
龙岗
nanao",2017年08月房价,31035元/㎡,4.11%↑,龙岗,nanao
1303,"2017年09月房价
28134元/㎡
9.35%↓
龙岗
nanao",2017年09月房价,28134元/㎡,9.35%↓,龙岗,nanao
1304,"2017年10月房价
16485元/㎡
41.4%↓
龙岗
nanao",2017年10月房价,16485元/㎡,41.4%↓,龙岗,nanao
1305,"2017年11月房价
8526元/㎡
48.28%↓
龙岗
nanao",2017年11月房价,8526元/㎡,48.28%↓,龙岗,nanao
1306,"2017年12月房价
10586元/㎡
24.17%↑
龙岗
nanao",2017年12月房价,10586元/㎡,24.17%↑,龙岗,nanao
1307,"2017年01月房价
53677元/㎡
1.48%↑
福田
futiankouan",2017年01月房价,53677元/㎡,1.48%↑,福田,futiankouan
1308,"2017年02月房价
54198元/㎡
0.97%↑
福田
futiankouan",2017年02月房价,54198元/㎡,0.97%↑,福田,futiankouan
1309,"2017年03月房价
55073元/㎡
1.62%↑
福田
futiankouan",2017年03月房价,55073元/㎡,1.62%↑,福田,futiankouan
1310,"2017年04月房价
55952元/㎡
1.6%↑
福田
futiankouan",2017年04月房价,55952元/㎡,1.6%↑,福田,futiankouan
1311,"2017年05月房价
56302元/㎡
0.63%↑
福田
futiankouan",2017年05月房价,56302元/㎡,0.63%↑,福田,futiankouan
1312,"2017年06月房价
56249元/㎡
0.09%↓
福田
futiankouan",2017年06月房价,56249元/㎡,0.09%↓,福田,futiankouan
1313,"2017年07月房价
55435元/㎡
1.45%↓
福田
futiankouan",2017年07月房价,55435元/㎡,1.45%↓,福田,futiankouan
1314,"2017年08月房价
55438元/㎡
--
福田
futiankouan",2017年08月房价,55438元/㎡,--,福田,futiankouan
1315,"2017年09月房价
56843元/㎡
2.53%↑
福田
futiankouan",2017年09月房价,56843元/㎡,2.53%↑,福田,futiankouan
1316,"2017年10月房价
56956元/㎡
0.2%↑
福田
futiankouan",2017年10月房价,56956元/㎡,0.2%↑,福田,futiankouan
1317,"2017年11月房价
57742元/㎡
1.38%↑
福田
futiankouan",2017年11月房价,57742元/㎡,1.38%↑,福田,futiankouan
1318,"2017年12月房价
57857元/㎡
0.2%↑
福田
futiankouan",2017年12月房价,57857元/㎡,0.2%↑,福田,futiankouan
1319,"2016年01月房价
62802元/㎡
5.75%↑
南山
shekou",2016年01月房价,62802元/㎡,5.75%↑,南山,shekou
1320,"2016年02月房价
65060元/㎡
3.6%↑
南山
shekou",2016年02月房价,65060元/㎡,3.6%↑,南山,shekou
1321,"2016年03月房价
65717元/㎡
1.01%↑
南山
shekou",2016年03月房价,65717元/㎡,1.01%↑,南山,shekou
1322,"2016年04月房价
65261元/㎡
0.69%↓
南山
shekou",2016年04月房价,65261元/㎡,0.69%↓,南山,shekou
1323,"2016年05月房价
62964元/㎡
3.52%↓
南山
shekou",2016年05月房价,62964元/㎡,3.52%↓,南山,shekou
1324,"2016年06月房价
61882元/㎡
1.72%↓
南山
shekou",2016年06月房价,61882元/㎡,1.72%↓,南山,shekou
1325,"2016年07月房价
62494元/㎡
0.99%↑
南山
shekou",2016年07月房价,62494元/㎡,0.99%↑,南山,shekou
1326,"2016年08月房价
62992元/㎡
0.8%↑
南山
shekou",2016年08月房价,62992元/㎡,0.8%↑,南山,shekou
1327,"2016年09月房价
62427元/㎡
0.9%↓
南山
shekou",2016年09月房价,62427元/㎡,0.9%↓,南山,shekou
1328,"2016年10月房价
65891元/㎡
5.55%↑
南山
shekou",2016年10月房价,65891元/㎡,5.55%↑,南山,shekou
1329,"2016年11月房价
66772元/㎡
1.34%↑
南山
shekou",2016年11月房价,66772元/㎡,1.34%↑,南山,shekou
1330,"2016年12月房价
65916元/㎡
1.28%↓
南山
shekou",2016年12月房价,65916元/㎡,1.28%↓,南山,shekou
1331,"2020年01月房价
47691元/㎡
0.22%↑
罗湖
huangbeiling",2020年01月房价,47691元/㎡,0.22%↑,罗湖,huangbeiling
1332,"2020年02月房价
47754元/㎡
0.13%↑
罗湖
huangbeiling",2020年02月房价,47754元/㎡,0.13%↑,罗湖,huangbeiling
